===============================================================================
(2, 3)
Convenient and common, but also Fibonacci powers 

Critical Pair 	| pq(n) 			| pq(n+2)/pq(n+1)
2^1 3^1 	| 6                             | 6
3^1 2^2 	| 12                            | 12
2^3 3^2 	| 72                            | 72
3^3 2^5 	| 864                           | 72
3^5 2^8 	| 62208                         | 62208
2^11 3^7 	| 4478976                       | 62208
2^19 3^12 	| 278628139008                  | 278628139008
3^17 2^27 	| 17332899271409664             | 278628139008
3^29 2^46 	| 4829433467605993781106573312  | 278628139008
3^41 2^65 	| 13456160595420103002161458328 | 13456160595420103002161458328
2^84 3^53 	| 37492649848946845074439209355 | 37492649848946845074439209355
3^94 2^149 	| 50450711751528201370076964738 | 37492649848946845074439209355
3^147 2^233 	| 18915308703301946407894163177 | 37492649848946845074439209355
3^200 2^317 	| 70918504599763666496525579911 | 37492649848946845074439209355
3^253 2^401 	| 26589226607698653682737631160 | 37492649848946845074439209355
3^306 2^485 	| 99690056295674636187454512497 | 99690056295674636187454512497
2^569 3^359 	| 37376443741155281302851487496 | 99690056295674636187454512497
2^1054 3^665 	| 37260597806878859029239668073 |
3^971 2^1539 	| 37145110929782443425169802844 |

===============================================================================
(3,5)
Fibonacci powers as well

Critical Pair 	| pq(n) 			| pq(n+2)/pq(n+1)
3^1 5^1 	| 15                            | 15
5^1 3^2 	| 45                            | 15
5^2 3^3 	| 675                           | 675
3^4 5^3 	| 10125                         | 675
3^7 5^5 	| 6834375                       | 675
3^10 5^7 	| 4613203125                    | 675
3^13 5^9 	| 3113912109375                 | 675
3^16 5^11 	| 2101890673828125              | 675
3^19 5^13 	| 1418776204833984375           | 1418776204833984375
5^15 3^22 	| 957673938262939453125         | 957673938262939453125
3^41 5^28 	| 13587249955971086920425295829 | 13587249955971086920425295829
5^43 3^63 	| 13012155175497781498119703615 | 13012155175497781498119703615
3^104 5^71 	| 17679940483537118246039699096 | 13012155175497781498119703615
3^167 5^114 	| 23005412906535026275035469770 | 13012155175497781498119703615
3^230 5^157 	| 29935000261623320236494113175 | 29935000261623320236494113175
5^200 3^293 	| 38951886858280932959242367462 | 29935000261623320236494113175
5^357 3^523 	| 11660247432933616974746393825 | 29935000261623320236494113175
5^514 3^753 	| 34904950995546047232218338775 |
5^671 3^983 	| 10448797171836200960433334921 |

===============================================================================
(7,23)
Very close Fibonacci Powers, 7^{\Phi}/23 \approx 1.01

Critical Pair 	| pq(n) 			| pq(n+2)/pq(n+1)
7^1 23^1 	| 161                           | 161
23^1 7^2 	| 1127                          | 1127
7^3 23^2 	| 181447                        | 181447
23^3 7^5 	| 204490769                     | 204490769
7^8 23^5 	| 37104236562743                | 37104236562743
23^8 7^13 	| 7587473867873232819367        | 37104236562743
23^13 7^21 	| 28152742530719905544132519508 | 28152742530719905544132519508
7^29 23^18 	| 10445860187498274151721132247 | 10445860187498274151721132247
23^31 7^50 	| 29407961237053646967497235982 | 10445860187498274151721132247
23^49 7^79 	| 30719145148163118698017350523 | 10445860187498274151721132247
23^67 7^108 	| 32088789529717789377967403102 | 10445860187498274151721132247
23^85 7^137 	| 33519500901349052379163927272 | 10445860187498274151721132247
23^103 7^166 	| 35014001997021458171542152308 | 10445860187498274151721132247
23^121 7^195 	| 36575136946567151464222588273 | 10445860187498274151721132247
23^139 7^224 	| 38205876688244299913825648021 | 10445860187498274151721132247
23^157 7^253 	| 39909324622619954419711597746 | 10445860187498274151721132247
23^175 7^282 	| 41688722518537036637671932105 | 10445860187498274151721132247
23^193 7^311 	| 43547456682404881334767928579 | 10445860187498274151721132247
23^211 7^340 	| 45489064402553882538734976821 | 10445860187498274151721132247
23^229 7^369 	| 47517240680918256771141666902 | 10445860187498274151721132247
23^247 7^398 	| 49635845264857740179952532967 | 49635845264857740179952532967
7^427 23^265 	| 51848909992500219705886474894 |
23^512 7^825 	| 25735644735392771991946944810 |

===============================================================================
(59,61)
Twin Primes

Critical Pair 	| pq(n) 			| pq(n+2)/pq(n+1)
59^1 61^1 	| 3599                          | 3599
61^1 59^2 	| 212341                        | 3599
61^2 59^3 	| 764215259                     | 3599
61^3 59^4 	| 2750410717141                 | 3599
61^4 59^5 	| 9898728170990459              | 3599
61^5 59^6 	| 35625522687394661941          | 3599
61^6 59^7 	| 128216256151933388325659      | 3599
61^7 59^8 	| 461450305890808264584046741   | 3599
61^8 59^9 	| 16607596509010189442379842208 | 3599
61^9 59^10 	| 59770739835927671803125052108 | 3599
61^10 59^11 	| 21511489266950369081944706253 | 3599
61^11 59^12 	| 77419849871754378325918997807 | 3599
61^12 59^13 	| 27863403968844400759498247311 | 3599
61^13 59^14 	| 10028039088387099833343419207 | 3599
61^14 59^15 	| 36090912679105172300202965726 | 3599
61^15 59^16 	| 12989119473209951510843047365 | 3599
61^16 59^17 	| 46747840984082615487524127467 | 3599
61^17 59^18 	| 16824547970171333313959933475 | 3599
61^18 59^19 	| 60551548144646628596941800577 | 3599
61^19 59^20 	| 21792502177258321632039354027 | 3599
61^20 59^21 	| 78431215335952699553709635146 | 3599
61^21 59^22 	| 28227394399409376569380097689 | 3599
61^22 59^23 	| 10159039244347434627319897158 | 3599
61^23 59^24 	| 36562382240406417223724309873 | 3599
61^24 59^25 	| 13158801368322269558818379123 | 3599
